software|Related User Agents
Facebook App|49,765,331
Facebook Bot|104
Facebook Gameroom|106
FAST Enterprise Crawler|26
FAST Fresh Crawler|4
FAST MetaData Crawler|1
Fast Web Crawler|22
Fennec|297
ffmpeg|675
FindLinks Crawler Bot|109
Firebird|207
Firefox|1,824,150
Firefox Focus|70,378
Firefox Lite|122,227
Flamingo Crawler|2
Flashfire|12
Flipboard|1,125,920
Flipboard App|15
Flix Player|8
Flock|730
Flow|415
Fluid|270
Fluid Dynamics Search Engine Crawler|1
foobar2000|15
FrontPage|71
FunnyFM|1
Galeon|187
Genieo Bot|3
Gigablast Crawler|21
Gnip UnwindFetchor Crawler|1
Go Http Client|14
GO HttpClient|1
GomezAgent|38
Goo Crawler|22
Google AdsBot|98
Google API Notification Push Agent|19
Google App Engine Software|7,302
Google Assistant|5
Google Desktop|20
Google Earth|206
Google Earth Pro|170
Google Favicon Crawler|11
Google Feedfetcher|200
Google Image Proxy|10
Google Lighthouse|4,154
Google Mobile AdsBot|18
Google Podcasts|1,618
Google Read Aloud|43
Google Search App|1,984,482
Google Site Verifier Bot|5
Google Structured Data Testing Tool|3
Google Web Preview Analytics Crawler|125
Google WebLight Proxy|111
Google's Media Partners system (AdSense)|98
Google+ Snippet Fetcher|16
Googlebot|3,006
Googlebot Image Crawler|13
Googlebot Mobile|29
Googlebot News Crawler|12
Googlebot Video Crawler|3
Grapeshot Bot|8
Grindr|238
GRUB Distributed Internet Crawler|19
GTmetrix Analyser|16
GuzzleHttp|1,160
Haiku Learning|10
Hawk QuickBrowser|119,059
Headless Chrome|5,129
Herring|607,925
HighWinds Content Delivery System|43
Himalaya|671
HisBot|1
Hobbit Bot|1
HTTP Banner Detection|2
HTTPClient|728
HTTPUnit|2
HubPages Bot|3
Hulu|1,937
iBrowser|931
iCab|272,581
iCatcher|256
Iceape|105
IceCat|79
Iceweasel|27,512
Ideal Observer Analytics|1
iHeartRadio|13,008
Import.io Bot|4
InfoBot|3
Instacast|6
Instagram|44,975,045
Internet Archiver Bot|108
Internet Channel|44
Internet Explorer|7,334,471
Internet Explorer Mobile|31,523
Internet Memory Crawler|22
Internet Surfboard|9
Internet TV Browser|1,364
Iris|64,895
iSolunar|28
iTunes|4,541
iWeatherClock|14
Jakarta Commons HttpClient|28
Java Runtime Environment|6,297
JavaFX Platform|328
jFirewall Crawler|6,719
Jike Spider Bot|1
Jobboerse Crawler|12
Jorgee Vulnerability Scanner|1
Jyxo.cz Crawler|1
K-Meleon|786
Kazehakase|62
Keeper|9
Kindle Browser|2,439
Konqueror|3,986
LB Browser|2,094
Leipzig Corpora Collection|5
Let's Encrypt Validation Check|1
Library for WWW in Perl|281
Light|784
Linguee Bot|7
LinkCheck Analyser|5
LinkChecker|425
Linkdex Crawler|13
LinkedIn App|93,466
LinkedIn Bot|13
Linkpad Crawler|7
Links|1,485
Liquid MT Browser|24
LTX71 Scanner|6
Lua HTTP client|30
Luminary|84
Lunascape|2,932
LWP::Simple Library|12
Lync|126
Lynx|1,146
M2E Pro Cron Service|1
MacLoggerDX|2
Maemo Browser|64
Mail App|172
Mail.ru Crawler|30
Majestic-12 Distributed Search Bot|60
MAUI Browser|131
MaxPoint Crawler|4
Maxthon|49,423
MeanPath Bot|1
Media Toolkit Crawler|1
MediaMonkey|9
MediaMonkeyAndroid|1
MegaIndex Crawler|9
MegaUpload Bot|2
Mercury Browser|2,890
MetaJob Crawler|4
Microsoft CryptoAPI|18
Microsoft WebDAV HTTP File Request|86
Microsoft Windows HTTP Services|1
Midori|1,773
Minefield|425
Miui Browser|798,945
Mojeek Crawler|17
Monit Bot|3
Mosaic|107
Motorola Internet Browser|51
MPlayer|4,980
MSN Bot|104
MSN Media Bot|26
MVision Player|2
MyPal|910
Naenara|10
Nagios HTTP Monitor|17
Naver In App Search|242,833
Naver.Com Crawler|42
Naver.Com Mobile Crawler|2
NerdyBot|1
NetCast|574
Netcraft Web Server Survey|2
Netflix|8,206
NetFront|3,368
Netfront Browser NX|189
Netscape Navigator|43,024
NetSeer Crawler|2
NetSurf|193
Netsurfer|4
NewsBot|1
Newspaper Scraper|109
NexPlayer|608
Nintendo Browser|272
Nintendo DSi Browser|4
Nokia Browser|16,989
Nook Web Browser|3,404
Noxtrum Crawler|1
Nutch Based Crawler|649
NutraSpace Search|1
ObiGo|2,155
Office|128,387
OFM Search Bot|1
OkHttp|14,800
OmniWeb|434
OneBrowser|1,642
OneNote|1,079
OnPage Bot|3
Open Directory Crawler|4
Open-WebKit-Sharp based browser|32
OpenLink Profiler SEO Analyser Bot|36
OpenSite Explorer Crawler|10
Openstat.com Crawler|1
OpenVAS Scanner|17
Openwave Mobile Browser|558
Opera|7,535,595
Opera GX|33
Opera Mini|478,891
Opera Touch|318,301
Orange.com Crawler|40
Orca|8,681
OutClicks.net Crawler|7
Outform Digital Display|6
Outlook|1,896,901
Outlook Calendar|15
Outlook Express|62,005
Outlook Mail|194
Ovi|3,811
Owlin Crawler|2
Page Analyzer|4
Pale Moon|76,679
Panascout Pro|21
Panopta Monitoring Bot|1
Panscient Crawler|3
PECL HTTP Library|11
PetalBot Crawler|25
Phoenix|69,217
PHP|631
PHPCrawl|1
Picsearch Crawler|1
Picsearch Image Crawler|1
Picsearch Page Crawler|1
Pingdom Bot|39
Pinterest App|758,694
Pinterest Bot|979
PlayBook Web Browser|118
PlayStation 4 Browser|28,552
PlayStation 5 Browser|239
Plucker Spider|4
Pocket|5
Pocket Luach|51
Podbean Podcast Player|175
Podkaster|49
Postman Runtime|192
PowerPoint|725
Pro/Engineer Wildfire|1,630
Project|53
Proximic Search|10
Public Library Archive Crawler|1
Publisher|77
Puffin|400,957
Python based software|723
Python Requests Library|1,130
Python urllib Library|101
Qihoo 360|1,941
QQ Browser|740,976
QQ Download Manager|4,842
QT based browser|378
QtWebEngine Based Browser|5,819
Qualys SSL Assessment Scanner|26
Quora|5,705
QupZilla|1,031
Qwant Browser|1,649
Qwantify Search Crawler|32
Raptr|12
Reactor Netty|39
Rekonq|71
RestSharp|40
Roccat|233
RockMelt|358
Roku Digital Video Player|1,786
RSSOwl|9
RSSRadio/8911|176
Ruby Browser|1,078
RuxitSynthetic|23,882
Safari|828,250
Safari based browser|2,220
Safari Search Suggestions Helper|301
Safepay|140
Salesforce Based Web Tool|1,679
Salesforce Chatter|1,447
Samsung Browser|637,670
Screaming Frog Crawler|135
SeaMonkey|36,055
Search Crawler Bot|2
SecondLife|1,610
Seekport Crawler|6
Semantic Visions Crawler|2
SEMRush Crawler|73
SEO Scanners Crawler Bot|2
SEOkicks Crawler|14
SeznamBot Crawler|26
Shiretoko|191
Shopback In-App Browser|53,740
Silk|18,418
SimplePie|160
SiriusXM Player|1
Sistrix Crawler|1
Site Explorer Crawler|5
Site Monitor Bot|7
Site Speed App|19,744
SkyFire|140
Slack|73
Slackbot Link Checker|6
Sleipnir|55,118
SlimBrowser|1,048
SMIT|1
Snapchat|1,553,106
Sogou "Search Dog"|55,620
Sogou Explorer|2,024
Solid Core|3
Songbird|63
Sonos Player|980
Sony Web Browser|4
Sosospider Search Bot|7
SpeedCurve Speed Tester|7,688
Spillo|41
Splash|267
Splashtop|321
Spotify|148,470
SprayCan|4
Squider Bot|5
SRWare Iron|56,956
Stagefright Based System|2,172
StartMe Bot|7
Statdom Crawler|4
Stations|59
Surf|1,695
Symfony BrowserKit|3
Tableau Desktop|118
Tableau Desktop (Public)|10
Tableau Mobile|519
TeaShark|3
Telefoonnummer Informatie Bot|1
TelegramBot|4
TencentTraveler|2,166
TenFourFox|842
Teoma Crawler|36
Tesla Browser|10,017
Testomato Bot|1
The Podcast App|3,503
The Trade Desk Content Scraper|1
TheWorld Browser|2,466
Thunderbird|19,140
Tiny Tiny RSS|134
TirtaBrowser|6
TO Browser|4,245
Topsy Butterfly Robot|3
Trafico|13
TrendOne|9
Tumblr|12,193
TuneIn Radio Pro|714
Turnitin Crawler|11
TweetMeme Bot|9
Twitter App|270,796
TwitterBot|16
UC Browser|2,110,277
Ultravox Streaming Server|8
Unknown bot|18,356
Unknown Discord bot|3
Unknown Slack bot|2
updown.io Favicon Crawler|1
updown.io monitoring bot|5
Uptime Bot|28
Uptime Robot|4
Valve Steam Game Overlay|4,894
Valve Steam Tenfoot Display|1,463
Vebidoo Crawler|1
Velen Crawler|6
Viber|98,145
Vienna|1,081
Visio|95
Vision Mobile Browser|112
Visual Basic Project|1
Vivaldi|26,845
Vivo Browser|177,614
VLC|1,610
VoilaBot|3
VoilaBot Beta|5
W3C CSS Validator|856
W3C Line Mode Browser|2
W3C Link Checker|36
W3C Validator|28
w3m|96
Warebay Crawler|3
Waterfox|80,606
Weather Report|62
Web Commander|1
WebHistory Bot|2
Webkit based browser|1,963,963
Weblink|62
Weblink Preview|11
WebOS Browser|71
WebPositive|39
Website Datenbank Crawler|5
WebTV|6
WebView based browser|694,191
WeChat|3,503,577
Wget|436
WhatsApp|3,603
WinAmp|333
Windows Media Player|4,812
Windows Power Shell|441
Wirtschafts Woche App|13
Wise Guys Crawler|30
Word|2,173
Wotbox.com Crawler|5
Wyzo|134
Xiaoyuzhou FM|418
Xiino|3
Xovi Crawler|3
Xumo Media Player|82
Xymon Site Monitor|4
Yaani Browser|15,803
Yahoo cache system|4
Yahoo Link Preview|34,298
Yahoo Mail Proxy|6
Yahoo Pipes|1
Yahoo! Japan Crawler Bot|4
Yahoo! Multimedia Crawler Bot|3
Yahoo! Slurp Web Crawler Bot|350,009
Yandex Browser|3,640,611
Yandex Image Bot|5
Yandex Metrika Search Bot|20
Yandex Search Bot|26
Yelp Crawler Bot|1
YodaoBot Search Bot|8
ZGrab|22
Zoom Info Bot|4
